_date,total_views,unique_views
2021-07-01,1,1
2021-07-02,7,1
2021-07-03,18,1
2021-08-04,1,1
2021-08-09,1,1
2021-08-11,8,1
2021-08-13,5,1
2021-08-16,1,1
2021-08-19,1,1
2021-08-27,1,1
2021-09-01,1,1
2021-09-02,1,1
2021-09-07,13,1
2021-09-08,1,1
2021-09-10,4,1
2021-09-13,134,1
2021-09-17,1,1
2021-09-21,44,3
2021-10-02,1,1
2021-10-04,1,1
2021-10-05,2,1
2021-10-09,1,1
2021-10-10,5,3
2021-10-11,2,1
2021-10-12,1,1
2021-10-13,1,1
2021-10-14,2,1
2021-10-29,15,2
2021-11-01,10,5
2021-11-03,1,1
2021-11-05,1,1
2021-11-06,4,2
2021-11-12,14,2
2021-11-13,42,1
2021-11-15,10,1
2021-11-19,1,1
2021-11-21,1,1
2021-12-04,4,2
2021-12-06,1,1
2021-12-07,2,1
2021-12-08,4,2
2021-12-09,1,1
2021-12-10,1,1
2021-12-15,4,1
2021-12-16,1,1
2021-12-23,1,1
2021-12-24,1,1
2022-01-02,1,1
2022-01-03,1,1
2022-01-06,1,1
2022-01-24,1,1
2022-02-01,11,1
2022-02-05,1,1
2022-02-14,1,1
2022-02-15,1,1
2022-02-20,1,1
2022-02-21,12,3
2022-02-23,3,2
2022-02-25,2,2
2022-03-01,3,1
2022-03-05,1,1
2022-03-10,3,2
2022-03-15,1,1
2022-03-17,7,1
2022-03-18,7,1
2022-03-21,3,2
2022-03-28,10,2
2022-03-29,3,2
2022-04-01,4,2
2022-04-04,1,1
2022-04-06,3,1
2022-04-08,1,1
2022-04-11,1,1
2022-04-12,19,4
2022-04-13,2,2
2022-04-14,5,3
2022-04-15,1,1
2022-04-18,2,2
2022-04-20,8,1
2022-04-21,5,2
2022-04-22,31,2
2022-04-24,2,2
2022-04-25,1,1
2022-04-26,3,1
2022-04-28,8,1
2022-04-29,6,2
2022-04-30,1,1
2022-05-01,2,2
2022-05-02,1,1
2022-05-05,1,1
2022-05-07,1,1
2022-05-08,4,2
2022-05-09,1,1
2022-05-11,2,1
2022-05-16,1,1
2022-05-17,1,1
2022-05-21,12,1
2022-05-25,1,1
2022-06-01,1,1
2022-06-03,3,2
2022-06-04,5,1
2022-06-05,7,1
2022-06-06,8,1
